Location,Time,Air Temperature - average (ºC),Wind Speed - average (m/s),Wind Direction - average (º),Rainfall - (mm)
Curyo,2001-01-20T19:00:00Z,18.1,0.5299999999999999,213.72387,0
Curyo,2001-01-20T19:00:10Z,17.9,0.62,210.904383,0
Curyo,2001-01-20T19:00:20Z,17.7,0.51,202.801016,0
Curyo,2001-01-20T19:00:30Z,17.4,0.47,201.447736,0
Curyo,2001-01-20T19:00:40Z,17.1,0.5599999999999999,201.447736,0
Curyo,2001-01-20T19:00:50Z,16.9,0.7699999999999999,201.738192,0
Curyo,2001-01-20T19:01:00Z,16.6,0.6499999999999999,192.663823,0
Curyo,2001-01-20T19:01:10Z,16.4,0.5,220.064696,0
Curyo,2001-01-20T19:01:20Z,16.3,0.38,214.156382,0
Curyo,2001-01-20T19:01:30Z,16.1,0.13999999999999999,214.000779,0
Curyo,2001-01-20T19:01:40Z,15.8,0,214.063527,0
Curyo,2001-01-20T19:01:50Z,15.5,0,214.063527,0
Curyo,2001-01-20T19:02:00Z,15.3,0.049999999999999996,203.198591,0
Curyo,2001-01-20T19:02:10Z,15.9,0.7899999999999999,114.294602,0
Curyo,2001-01-20T19:02:20Z,16,0.51,123.47174,0
Curyo,2001-01-20T19:02:30Z,15.9,0.39999999999999997,152.878697,0
Curyo,2001-01-20T19:02:40Z,15.7,0.26999999999999996,175.394762,0
Curyo,2001-01-20T19:02:50Z,15.5,0.22,175.28294,0
Curyo,2001-01-20T19:03:00Z,15.2,0.15999999999999998,175.394762,0
Curyo,2001-01-20T19:03:10Z,15.1,0.6,180.678025,0
Curyo,2001-01-20T19:03:20Z,15.2,0.35,190.936317,0
Curyo,2001-01-20T19:03:30Z,15.1,0.31,191.067808,0
Curyo,2001-01-20T19:03:40Z,15,0.13999999999999999,191.067808,0
Curyo,2001-01-20T19:03:50Z,14.8,0.15,191.067808,0
Curyo,2001-01-20T19:04:00Z,14.7,0.51,191.046303,0
Curyo,2001-01-20T19:04:10Z,14.6,0.13,191.046303,0
Curyo,2001-01-20T19:04:20Z,14.2,0.19,191.067808,0
Curyo,2001-01-20T19:04:30Z,13.8,0.19,191.046303,0
Curyo,2001-01-20T19:04:40Z,13.6,0.31999999999999995,190.706841,0
Curyo,2001-01-20T19:04:50Z,13.6,0.24,201.037511,0
Curyo,2001-01-20T19:05:00Z,13.5,0.45,192.386442,0
Curyo,2001-01-20T19:05:10Z,13.5,0.48,223.798167,0
Curyo,2001-01-20T19:05:20Z,13.5,0.7999999999999999,220.691335,0
Curyo,2001-01-20T19:05:30Z,13.7,0.6299999999999999,220.497144,0
Curyo,2001-01-20T19:05:40Z,13.8,0.7999999999999999,203.974996,0
Curyo,2001-01-20T19:05:50Z,13.9,1.1099999999999999,205.038978,0
Curyo,2001-01-20T19:06:00Z,14.3,0.85,202.273322,0
Curyo,2001-01-20T19:06:10Z,14.3,0.58,237.914632,0
Curyo,2001-01-20T19:06:20Z,15,0.73,207.606678,0
Curyo,2001-01-20T19:06:30Z,15.8,0.7699999999999999,206.62549,0
Curyo,2001-01-20T19:06:40Z,16.5,0.7999999999999999,207.708408,0
Curyo,2001-01-20T19:06:50Z,17.3,0.83,213.645824,0
Curyo,2001-01-20T19:07:00Z,17.7,1.19,202.070929,0
Curyo,2001-01-20T19:07:10Z,18.5,1.15,202.306205,0
Curyo,2001-01-20T19:07:20Z,18.8,1.35,193.916877,0
Curyo,2001-01-20T19:07:30Z,19.4,1.3199999999999998,198.35835,0
Curyo,2001-01-20T19:07:40Z,20.3,1.02,204.11102,0
Curyo,2001-01-20T19:07:50Z,20.8,1.14,204.255123,0
Curyo,2001-01-20T19:08:00Z,21,1.6300000000000001,193.6646,0
Curyo,2001-01-20T19:08:10Z,21.9,1.2,205.923272,0
Curyo,2001-01-20T19:08:20Z,22.7,1.1199999999999999,205.063691,0
Curyo,2001-01-20T19:08:30Z,23.3,1.27,205.19403,0
Curyo,2001-01-20T19:08:40Z,24.2,1.1199999999999999,175.327557,0
Curyo,2001-01-20T19:08:50Z,24.7,0.85,210.77753,0
Curyo,2001-01-20T19:09:00Z,25.3,0.96,219.107772,0
Curyo,2001-01-20T19:09:10Z,26.1,1.03,203.714755,0
Curyo,2001-01-20T19:09:20Z,26.4,1.1199999999999999,194.812481,0
