SpEv,site,rep,distance,station,transect,dist_stat,plant_no,pot_no,counts_p1,counts_p2,counts_p3,counts_p4,counts_p5,degrees,mean_pot_count
Horsham Irrg 1,pbc,1,0,3,7,0m_3,5,6,0,3,2,3,2,105,2
Horsham Irrg 1,pbc,1,0,4,10,0m_4,5,8,0,3,5,4,2,135,2.8
Horsham Irrg 1,pbc,1,25,3,3,25m_3,5,21,0,0,0,0,0,65,0
Horsham Irrg 1,pbc,1,25,3,3,25m_3,5,22,0,0,0,1,2,65,0.6
Horsham Irrg 1,pbc,1,50,6,6,50m_6,3,42,0,1,1,NA,NA,95,0.6666666666666666
Horsham Irrg 1,pbc,1,50,10,10,50m_10,3,46,0,2,0,NA,NA,135,0.6666666666666666
Horsham Irrg 1,pbc,1,75,7,7,75m_7,3,53,0,1,3,NA,NA,105,1.3333333333333333
Horsham Irrg 1,pbc,1,75,9,9,75m_9,3,55,0,0,0,NA,NA,125,0
Horsham Irrg 1,pbc,1,75,10,10,75m_10,3,56,0,0,0,NA,NA,135,0
Horsham Irrg 2,pbc,2,10,1,1,10m_1,5,10,0,2,2,1,1,45,1.2
Horsham Irrg 2,pbc,2,50,4,4,50m_4,3,40,0,0,0,NA,NA,75,0
Horsham Irrg 2,pbc,2,50,5,5,50m_5,3,41,0,0,0,NA,NA,85,0
Horsham Irrg 2,pbc,2,75,4,4,75m_4,3,50,0,0,0,NA,NA,75,0
Horsham Irrg 2,pbc,2,75,5,5,75m_5,3,51,0,0,0,NA,NA,85,0
Horsham Mixd 1,pbc,3,25,5,5,25m_5,5,25,0,4,0,0,0,85,0.8
Horsham Mixd 1,pbc,3,25,6,6,25m_6,5,27,0,1,3,2,0,95,1.2
Horsham Mixd 1,pbc,3,25,8,8,25m_8,5,31,0,3,0,2,0,115,1
Horsham Mixd 1,pbc,3,25,8,8,25m_8,5,32,0,0,0,0,2,115,0.4
Horsham Mixd 1,pbc,3,25,9,9,25m_9,5,33,0,1,0,0,0,125,0.2
Horsham Mixd 1,pbc,3,25,9,9,25m_9,5,34,0,0,2,0,0,125,0.4
Horsham Mixd 1,pbc,3,25,10,10,25m_10,5,35,0,0,0,0,0,135,0
Horsham Mixd 1,pbc,3,25,10,10,25m_10,5,36,0,1,1,0,0,135,0.4
Horsham Mixd 1,pbc,3,50,1,1,50m_1,3,37,0,3,1,NA,NA,45,1.3333333333333333
Horsham Mixd 1,pbc,3,50,3,3,50m_3,3,39,0,0,0,NA,NA,65,0
Horsham Mixd 1,pbc,3,50,4,4,50m_4,3,40,0,2,1,NA,NA,75,1
Horsham Mixd 1,pbc,3,50,5,5,50m_5,3,41,0,2,2,NA,NA,85,1.3333333333333333
Horsham Mixd 1,pbc,3,75,1,1,75m_1,3,47,0,0,0,NA,NA,45,0
Horsham Mixd 1,pbc,3,75,2,2,75m_2,3,48,0,1,0,NA,NA,55,0.3333333333333333
Horsham Mixd 1,pbc,3,75,3,3,75m_3,3,49,0,0,0,NA,NA,65,0
Horsham Mixd 1,pbc,3,75,5,5,75m_5,3,51,0,0,2,NA,NA,85,0.6666666666666666
Horsham Mixd 1,pbc,3,75,7,7,75m_7,3,53,0,0,0,NA,NA,105,0
Horsham Mixd 1,pbc,3,75,8,8,75m_8,3,54,0,0,1,NA,NA,115,0.3333333333333333
Horsham Mixd 1,pbc,3,75,9,9,75m_9,3,55,0,0,0,NA,NA,125,0
Horsham Mixd 1,pbc,3,75,10,10,75m_10,3,56,0,0,0,NA,NA,135,0
Horsham Rain 1,Horsham,1,0,1,1,0m_1,5,2,0,3,1,2,0,45,1.2
Horsham Rain 1,Horsham,1,0,2,4,0m_2,5,4,0,0,4,4,3,75,2.2
Horsham Rain 1,Horsham,1,0,3,7,0m_3,5,5,0,1,1,1,1,105,0.8
Horsham Rain 1,Horsham,1,0,3,7,0m_3,5,6,0,2,3,1,NA,105,1.5
Horsham Rain 1,Horsham,1,0,4,10,0m_4,5,7,0,3,0,0,2,135,1
Horsham Rain 1,Horsham,1,10,1,1,10m_1,5,9,0,1,4,1,1,45,1.4
Horsham Rain 1,Horsham,1,10,2,4,10m_2,5,12,0,2,0,2,0,75,0.8
Horsham Rain 1,Horsham,1,10,3,7,10m_3,5,13,0,1,0,0,0,105,0.2
Horsham Rain 1,Horsham,1,25,1,1,25m_1,5,17,0,0,2,0,0,45,0.4
Horsham Rain 1,Horsham,1,25,1,1,25m_1,5,18,0,1,2,0,1,45,0.8
Horsham Rain 1,Horsham,1,25,3,3,25m_3,5,21,0,1,0,1,0,65,0.4
Horsham Rain 1,Horsham,1,25,4,4,25m_4,5,24,0,1,0,1,1,75,0.6
Horsham Rain 1,Horsham,1,25,7,7,25m_7,5,29,0,4,0,1,0,105,1
Horsham Rain 1,Horsham,1,25,7,7,25m_7,5,30,0,0,2,1,0,105,0.6
Horsham Rain 1,Horsham,1,25,8,8,25m_8,5,32,0,1,0,0,0,115,0.2
Horsham Rain 1,Horsham,1,25,9,9,25m_9,5,34,0,2,1,1,2,125,1.2
Horsham Rain 1,Horsham,1,25,10,10,25m_10,5,35,0,0,0,0,4,135,0.8
Horsham Rain 1,Horsham,1,25,10,10,25m_10,5,36,0,0,0,2,0,135,0.4
