site,rep,distance ,station,transect,dist_stat,plant_no,pot_ no,counts_p1,counts_p2,counts_p3,counts_p4,counts_p5,mean_count_pot,SD_count_pot,mat,mah,minws,mws,maxws,mwd,precip,ptype,mdp,mrain
pbc,1,0 m,1,1,0m_1,5,1,1,2,2,0,3,1.6,1.140175425,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,0 m,1,1,0m_1,5,2,2,5,1,1,4,2.6,1.816590212,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,0 m,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pbc,1,0 m,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pbc,1,0 m,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pbc,1,0 m,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pbc,1,0 m,2,4,0m_2,5,3,3,3,4,3,2,3,0.707106781,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,0 m,2,4,0m_2,5,4,5,3,1,3,2,2.8,1.483239697,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,0 m,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pbc,1,0 m,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pbc,1,0 m,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pbc,1,0 m,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pbc,1,0 m,3,7,0m_3,5,5,3,1,4,5,3,3.2,1.483239697,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,0 m,3,7,0m_3,5,6,0,3,2,3,2,2,1.224744871,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,0 m,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pbc,1,0 m,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pbc,1,0 m,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pbc,1,0 m,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pbc,1,0 m,4,10,0m_4,5,7,2,2,1,1,1,1.4,0.547722558,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,0 m,4,10,0m_4,5,8,0,3,5,4,2,2.8,1.923538406,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,10 m,1,1,10m_1,5,9,0,2,0,0,0,0.4,0.894427191,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,10 m,1,1,10m_1,5,10,1,0,0,0,2,0.6,0.894427191,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
pbc,1,10 m,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pbc,1,10 m,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pbc,1,10 m,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pbc,1,10 m,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pbc,1,10 m,2,4,10m_2,5,11,3,0,0,1,1,1,1.224744871,11.27586207,70.69931034,0.783448276,1.902827586,3.357724138,211.3755768,10,simRain,5.568493124,0
