BCG-Agfarm 3 Curyo 
Reading Time,Rainfall,Humidity,Temperature,Wind Speed,Wind Direction
31/10/2019 11:58 PM,0,53,20.5,3.9,NNE
31/10/2019 11:44 PM,0,53,20.2,3.3,NNE
31/10/2019 11:29 PM,0,51,21.1,4.4,NNE
31/10/2019 11:15 PM,0,50,21.3,5,N
31/10/2019 11:01 PM,0,51,20.9,4.2,NNE
31/10/2019 10:46 PM,0,51,20.9,3.1,NNE
31/10/2019 10:32 PM,0,50,21.2,3.4,NNE
31/10/2019 10:18 PM,0,50,21.3,3.1,NNE
31/10/2019 10:03 PM,0,49,21.7,3.4,NNE
31/10/2019 9:34 PM,0,45,23.5,4.7,NNE
31/10/2019 9:20 PM,0,44,23.5,4.8,N
31/10/2019 9:06 PM,0,44,23.5,4.4,NNE
31/10/2019 8:51 PM,0,44,23.8,4.6,N
31/10/2019 8:37 PM,0,43,24.2,4.4,NNE
31/10/2019 8:23 PM,0,42,24.8,4.6,N
31/10/2019 8:08 PM,0,41,25.4,4.6,N
31/10/2019 7:54 PM,0,38,26.6,6.3,N
31/10/2019 7:40 PM,0,37,27.3,7,N
31/10/2019 7:26 PM,0,35,27.9,7.8,N
31/10/2019 7:11 PM,0,35,28.4,8,NNE
31/10/2019 6:57 PM,0,33,29.2,9.2,N
31/10/2019 6:43 PM,0,32,29.8,9.8,NNE
31/10/2019 6:29 PM,0,31,30.3,10.1,N
31/10/2019 6:14 PM,0,29,30.9,12.4,N
31/10/2019 6:00 PM,0,29,31.3,12.4,N
31/10/2019 5:46 PM,0,28,31.9,12.8,SSW
31/10/2019 5:32 PM,0,27,32.1,14.6,N
31/10/2019 5:17 PM,0,27,32.4,13.2,NNE
31/10/2019 5:03 PM,0,26,32.8,13.6,N
31/10/2019 4:49 PM,0,26,33,13.6,N
31/10/2019 4:35 PM,0,26,32.7,13.8,N
31/10/2019 4:21 PM,0,25,33.1,15.9,N
31/10/2019 4:06 PM,0,25,33.3,15.4,N
31/10/2019 3:52 PM,0,25,33.6,14.6,NNE
31/10/2019 3:38 PM,0,24,33.4,15.7,NNE
31/10/2019 3:24 PM,0,24,33.6,17,N
31/10/2019 3:10 PM,0,24,33.6,16.4,NNE
31/10/2019 2:56 PM,0,24,33.9,16.7,SSW
31/10/2019 2:41 PM,0,24,33.8,16.8,NNE
31/10/2019 2:27 PM,0,24,33.5,16,NNE
31/10/2019 2:13 PM,0,24,33.6,17.3,NNE
31/10/2019 1:59 PM,0,24,33.3,16,NE
31/10/2019 1:45 PM,0,24,33.8,16.8,N
31/10/2019 1:30 PM,0,26,33.2,17.2,N
31/10/2019 1:16 PM,0,25,33.1,17.3,NNE
31/10/2019 1:02 PM,0,25,33.4,15.6,NNW
31/10/2019 12:48 PM,0,26,32.6,16.9,NNE
31/10/2019 12:34 PM,0,28,32.1,15.6,NNW
31/10/2019 12:19 PM,0,29,31.8,16.5,NNW
31/10/2019 12:05 PM,0,30,31.7,15.6,N
31/10/2019 11:51 AM,0,31,31.6,14.8,NNW
31/10/2019 11:37 AM,0,31,31.4,13.8,NNW
31/10/2019 11:23 AM,0,32,30.9,15,NNW
31/10/2019 11:08 AM,0,32,30.5,14.8,NNW
31/10/2019 10:54 AM,0,33,30.1,17.3,N
31/10/2019 10:40 AM,0,33,29.9,15.4,N
31/10/2019 10:26 AM,0,33,29.8,16.2,N
31/10/2019 10:12 AM,0,34,29.3,15.4,N
31/10/2019 9:57 AM,0,34,28.9,14.2,N
31/10/2019 9:43 AM,0,34,28.6,12.6,N
31/10/2019 9:29 AM,0,35,28,13.4,SSW
31/10/2019 9:15 AM,0,36,27.7,13.9,N
31/10/2019 9:00 AM,0,38,27,13.1,N
31/10/2019 8:46 AM,0,39,26.2,13.8,NNW
31/10/2019 8:32 AM,0,41,25.6,15.2,N
31/10/2019 8:18 AM,0,42,24.9,14.7,SSW
31/10/2019 8:03 AM,0,45,24.4,14.1,N
31/10/2019 7:49 AM,0,47,23.5,12.5,N
31/10/2019 7:35 AM,0,49,22.3,11.8,NNW
31/10/2019 7:20 AM,0,51,21.6,7.8,NNW
31/10/2019 7:06 AM,0,54,20.1,7.3,SSW
31/10/2019 6:51 AM,0,58,18.4,5.4,N
31/10/2019 6:37 AM,0,59,17.2,5.6,N
31/10/2019 6:23 AM,0,63,16,4,N
31/10/2019 6:08 AM,0,66,14.4,2.9,N
31/10/2019 5:54 AM,0,66,14,3.1,N
31/10/2019 5:39 AM,0,66,13.9,4,N
31/10/2019 5:25 AM,0,63,14.2,3.8,N
31/10/2019 5:11 AM,0,63,14.3,4.2,NNE
31/10/2019 4:56 AM,0,60,15.1,4.6,N
31/10/2019 4:42 AM,0,59,15.8,6.1,N
31/10/2019 4:27 AM,0,57,16.2,5.9,N
31/10/2019 4:13 AM,0,57,16.1,5,N
31/10/2019 3:58 AM,0,57,16.2,4.7,N
31/10/2019 3:44 AM,0,55,16.9,4.7,N
31/10/2019 3:30 AM,0,54,17,4.5,SSW
31/10/2019 3:15 AM,0,55,16.8,4.2,SSW
31/10/2019 3:01 AM,0,54,16.7,4.5,NNE
31/10/2019 2:46 AM,0,53,17.2,5.3,N
31/10/2019 2:32 AM,0,52,17.3,5.4,SSW
31/10/2019 2:17 AM,0,51,17.3,3.9,N
31/10/2019 2:03 AM,0,50,17.3,4.2,N
